image size: (210, 160, 3)
action size: 3
/home/matthew_daangn_com/anaconda3/lib/python3.6/site-packages/skimage/transform/_warps.py:84: UserWarning: The default mode, 'constant', will be changed to 'reflect' in skimage 0.15.
  warn("The default mode, 'constant', will be changed to 'reflect' in "
global steps 196800 | score: 12.0 | entropy: 0.3386 | grad norm: 3.191 
global steps 196800 | score: 6.0 | entropy: 0.3383 | grad norm: 3.191 
global steps 201600 | score: 10.0 | entropy: 0.3392 | grad norm: 3.226 
global steps 201600 | score: 10.0 | entropy: 0.3396 | grad norm: 3.226 
global steps 201600 | score: 9.0 | entropy: 0.3391 | grad norm: 3.226 
global steps 201600 | score: 8.0 | entropy: 0.3389 | grad norm: 3.226 
global steps 201600 | score: 8.0 | entropy: 0.3394 | grad norm: 3.226 
global steps 201600 | score: 8.0 | entropy: 0.3394 | grad norm: 3.226 
global steps 201600 | score: 8.0 | entropy: 0.3389 | grad norm: 3.226 
global steps 206400 | score: 11.0 | entropy: 0.3394 | grad norm: 3.572 
global steps 206400 | score: 10.0 | entropy: 0.3416 | grad norm: 3.572 
global steps 206400 | score: 10.0 | entropy: 0.3434 | grad norm: 3.572 
global steps 206400 | score: 10.0 | entropy: 0.3393 | grad norm: 3.572 
global steps 206400 | score: 9.0 | entropy: 0.3394 | grad norm: 3.572 
global steps 206400 | score: 6.0 | entropy: 0.3416 | grad norm: 3.572 
global steps 206400 | score: 6.0 | entropy: 0.3434 | grad norm: 3.572 
global steps 211200 | score: 7.0 | entropy: 0.3425 | grad norm: 3.450 
global steps 211200 | score: 6.0 | entropy: 0.3424 | grad norm: 3.450 
global steps 211200 | score: 7.0 | entropy: 0.3424 | grad norm: 3.450 
global steps 211200 | score: 8.0 | entropy: 0.3442 | grad norm: 3.450 
global steps 211200 | score: 7.0 | entropy: 0.3424 | grad norm: 3.450 
global steps 211200 | score: 8.0 | entropy: 0.3425 | grad norm: 3.450 
global steps 211200 | score: 7.0 | entropy: 0.3425 | grad norm: 3.450 
global steps 211200 | score: 7.0 | entropy: 0.3428 | grad norm: 3.450 
global steps 211200 | score: 7.0 | entropy: 0.3424 | grad norm: 3.450 
global steps 216000 | score: 8.0 | entropy: 0.3434 | grad norm: 3.179 
global steps 216000 | score: 8.0 | entropy: 0.3429 | grad norm: 3.179 
global steps 216000 | score: 9.0 | entropy: 0.3419 | grad norm: 3.179 
global steps 216000 | score: 8.0 | entropy: 0.3417 | grad norm: 3.179 
global steps 220800 | score: 11.0 | entropy: 0.3450 | grad norm: 2.881 
global steps 220800 | score: 9.0 | entropy: 0.3430 | grad norm: 2.881 
