image size: (210, 160, 3)
action size: 3
global steps 243200 | score: 11.0 | entropy: 0.3257 | grad norm: 3.577 
global steps 243200 | score: 12.0 | entropy: 0.3240 | grad norm: 3.577 
global steps 243200 | score: 11.0 | entropy: 0.3257 | grad norm: 3.577 
global steps 243200 | score: 7.0 | entropy: 0.3256 | grad norm: 3.577 
global steps 249600 | score: 14.0 | entropy: 0.3246 | grad norm: 5.087 
global steps 249600 | score: 8.0 | entropy: 0.3274 | grad norm: 5.087 
global steps 249600 | score: 12.0 | entropy: 0.3296 | grad norm: 5.087 
global steps 249600 | score: 10.0 | entropy: 0.3268 | grad norm: 5.087 
global steps 249600 | score: 11.0 | entropy: 0.3251 | grad norm: 5.087 
global steps 249600 | score: 10.0 | entropy: 0.3277 | grad norm: 5.087 
global steps 256000 | score: 13.0 | entropy: 0.3290 | grad norm: 6.672 
global steps 256000 | score: 17.0 | entropy: 0.3289 | grad norm: 6.672 
global steps 256000 | score: 17.0 | entropy: 0.3243 | grad norm: 6.672 
global steps 256000 | score: 16.0 | entropy: 0.3241 | grad norm: 6.672 
global steps 256000 | score: 15.0 | entropy: 0.3240 | grad norm: 6.672 
global steps 256000 | score: 22.0 | entropy: 0.3251 | grad norm: 6.672 
global steps 256000 | score: 17.0 | entropy: 0.3239 | grad norm: 6.672 
global steps 256000 | score: 20.0 | entropy: 0.3266 | grad norm: 6.672 
global steps 256000 | score: 19.0 | entropy: 0.3270 | grad norm: 6.672 
global steps 256000 | score: 20.0 | entropy: 0.3291 | grad norm: 6.672 
global steps 256000 | score: 19.0 | entropy: 0.3252 | grad norm: 6.672 
global steps 262400 | score: 22.0 | entropy: 0.3274 | grad norm: 4.425 
global steps 262400 | score: 17.0 | entropy: 0.3283 | grad norm: 4.425 
global steps 262400 | score: 19.0 | entropy: 0.3282 | grad norm: 4.425 
global steps 262400 | score: 19.0 | entropy: 0.3283 | grad norm: 4.425 
global steps 262400 | score: 14.0 | entropy: 0.3340 | grad norm: 4.425 
global steps 262400 | score: 23.0 | entropy: 0.3305 | grad norm: 4.425 
global steps 262400 | score: 13.0 | entropy: 0.3284 | grad norm: 4.425 
global steps 268800 | score: 11.0 | entropy: 0.3278 | grad norm: 5.041 
global steps 268800 | score: 13.0 | entropy: 0.3270 | grad norm: 5.041 
global steps 268800 | score: 14.0 | entropy: 0.3265 | grad norm: 5.041 
global steps 268800 | score: 17.0 | entropy: 0.3312 | grad norm: 5.041 
global steps 268800 | score: 17.0 | entropy: 0.3287 | grad norm: 5.041 
